state,month,positiveTotal,positivePerCapita,positiveIncrease,positiveIncreasesPerCapita,positiveIncreasePercent
AL,2020-01-31,0,0,0,0,0
AL,2020-02-29,0,0,0,0,0
AL,2020-03-31,981,20,981,20,0
AL,2020-04-30,7019,143,6038,123,615
AL,2020-05-31,17903,365,10884,222,155
AL,2020-06-30,38045,775,20142,410,113
AL,2020-07-15,59067,1203,21022,428,55
AK,2020-01-31,0,0,0,0,0
AK,2020-02-29,0,0,0,0,0
AK,2020-03-31,119,16,119,16,0
AK,2020-04-30,355,48,236,32,198
AK,2020-05-31,434,59,79,11,22
AK,2020-06-30,940,128,506,69,117
AK,2020-07-15,1631,222,691,94,74
AZ,2020-01-31,0,0,0,0,0
AZ,2020-02-29,0,0,0,0,0
AZ,2020-03-31,1289,17,1289,17,0
AZ,2020-04-30,7648,104,6359,86,493
AZ,2020-05-31,19936,270,12288,167,161
AZ,2020-06-30,79215,1074,59279,803,297
AZ,2020-07-15,131354,1780,52139,707,66
AR,2020-01-31,0,0,0,0,0
AR,2020-02-29,0,0,0,0,0
AR,2020-03-31,523,17,523,17,0
AR,2020-04-30,3255,107,2732,90,522
AR,2020-05-31,7253,239,3998,132,123
AR,2020-06-30,20777,684,13524,445,186
AR,2020-07-15,30297,997,9520,313,46
CA,2020-01-31,0,0,0,0,0
CA,2020-02-29,0,0,0,0,0
CA,2020-03-31,7482,19,7482,19,0
CA,2020-04-30,48917,122,41435,104,554
CA,2020-05-31,110583,277,61666,154,126
CA,2020-06-30,222917,558,112334,281,102
CA,2020-07-15,347634,870,124717,312,56
CO,2020-01-31,0,0,0,0,0
CO,2020-02-29,0,0,0,0,0
CO,2020-03-31,2627,45,2627,45,0
CO,2020-04-30,14758,252,12131,208,462
CO,2020-05-31,26098,446,11340,194,77
CO,2020-06-30,32511,556,6413,110,25
CO,2020-07-15,37686,645,5175,89,16
CT,2020-01-31,0,0,0,0,0
CT,2020-02-29,0,0,0,0,0
CT,2020-03-31,3128,88,3128,88,0
CT,2020-04-30,27700,777,24572,690,786
CT,2020-05-31,42201,1184,14501,407,52
CT,2020-06-30,46514,1305,4313,121,10
CT,2020-07-15,47636,1337,1122,31,2
DE,2020-01-31,0,0,0,0,0
DE,2020-02-29,0,0,0,0,0
DE,2020-03-31,319,32,319,32,0
DE,2020-04-30,4734,482,4415,449,1384
DE,2020-05-31,9498,966,4764,485,101
DE,2020-06-30,11474,1167,1976,201,21
DE,2020-07-15,13050,1328,1576,160,14
DC,2020-01-31,0,0,0,0,0
DC,2020-02-29,0,0,0,0,0
DC,2020-03-31,495,69,495,69,0
DC,2020-04-30,4323,600,3828,531,773
DC,2020-05-31,8801,1221,4478,621,104
DC,2020-06-30,10327,1433,1526,212,17
DC,2020-07-15,11026,1530,699,97,7
FL,2020-01-31,0,0,0,0,0
FL,2020-02-29,0,0,0,0,0
FL,2020-03-31,6338,29,6338,29,0
FL,2020-04-30,33690,153,27352,124,432
FL,2020-05-31,56163,255,22473,102,67
FL,2020-06-30,152434,693,96271,438,171
FL,2020-07-15,301810,1372,149376,679,98
GA,2020-01-31,0,0,0,0,0
GA,2020-02-29,0,0,0,0,0
GA,2020-03-31,3929,37,3929,37,0
GA,2020-04-30,26155,244,22226,207,566
GA,2020-05-31,46986,438,20831,194,80
GA,2020-06-30,81291,757,34305,320,73
GA,2020-07-15,127834,1191,46543,434,57
HI,2020-01-31,0,0,0,0,0
HI,2020-02-29,0,0,0,0,0
HI,2020-03-31,204,14,204,14,0
HI,2020-04-30,613,43,409,29,200
HI,2020-05-31,651,46,38,3,6
HI,2020-06-30,900,64,249,18,38
HI,2020-07-15,1264,89,364,26,40
ID,2020-01-31,0,0,0,0,0
ID,2020-02-29,0,0,0,0,0
ID,2020-03-31,415,23,415,23,0
ID,2020-04-30,1984,109,1569,86,378
ID,2020-05-31,2839,155,855,47,43
ID,2020-06-30,5752,315,2913,160,103
ID,2020-07-15,11718,642,5966,327,104
IL,2020-01-31,0,0,0,0,0
IL,2020-02-29,0,0,0,0,0
IL,2020-03-31,5994,47,5994,47,0
IL,2020-04-30,52918,418,46924,371,783
IL,2020-05-31,120260,950,67342,532,127
IL,2020-06-30,144238,1139,23978,189,20
IL,2020-07-15,157825,1247,13587,107,9
IN,2020-01-31,0,0,0,0,0
IN,2020-02-29,0,0,0,0,0
IN,2020-03-31,2159,32,2159,32,0
IN,2020-04-30,17835,264,15676,232,726
IN,2020-05-31,34574,513,16739,248,94
IN,2020-06-30,45594,676,11020,163,32
IN,2020-07-15,53370,791,7776,115,17
IA,2020-01-31,0,0,0,0,0
IA,2020-02-29,0,0,0,0,0
IA,2020-03-31,497,16,497,16,0
IA,2020-04-30,7145,225,6648,209,1338
IA,2020-05-31,19552,615,12407,390,174
IA,2020-06-30,29007,912,9455,297,48
IA,2020-07-15,36291,1141,7284,229,25
KS,2020-01-31,0,0,0,0,0
KS,2020-02-29,0,0,0,0,0
KS,2020-03-31,428,15,428,15,0
KS,2020-04-30,4238,146,3810,131,890
KS,2020-05-31,9719,334,5481,188,129
KS,2020-06-30,14443,496,4724,162,49
KS,2020-07-15,20933,719,6490,223,45
KY,2020-01-31,0,0,0,0,0
KY,2020-02-29,0,0,0,0,0
KY,2020-03-31,480,11,480,11,0
KY,2020-04-30,4539,101,4059,90,846
KY,2020-05-31,9704,216,5165,115,114
KY,2020-06-30,15624,347,5920,132,61
KY,2020-07-15,20677,460,5053,112,32
LA,2020-01-31,0,0,0,0,0
LA,2020-02-29,0,0,0,0,0
LA,2020-03-31,5237,113,5237,113,0
LA,2020-04-30,28001,603,22764,490,435
LA,2020-05-31,39916,859,11915,257,43
LA,2020-06-30,58095,1251,18179,391,46
LA,2020-07-15,84131,1811,26036,560,45
ME,2020-01-31,0,0,0,0,0
ME,2020-02-29,0,0,0,0,0
ME,2020-03-31,303,23,303,23,0
ME,2020-04-30,1095,81,792,59,261
ME,2020-05-31,2325,173,1230,91,112
ME,2020-06-30,3253,242,928,69,40
ME,2020-07-15,3578,266,325,24,10
MD,2020-01-31,0,0,0,0,0
MD,2020-02-29,0,0,0,0,0
MD,2020-03-31,1660,27,1660,27,0
MD,2020-04-30,21742,357,20082,330,1210
MD,2020-05-31,52778,868,31036,510,143
MD,2020-06-30,67559,1111,14781,243,28
MD,2020-07-15,75016,1233,7457,123,11
MA,2020-01-31,0,0,0,0,0
MA,2020-02-29,0,0,0,0,0
MA,2020-03-31,6521,93,6521,93,0
MA,2020-04-30,62205,892,55684,798,854
MA,2020-05-31,96965,1390,34760,498,56
MA,2020-06-30,108882,1561,11917,171,12
MA,2020-07-15,112347,1610,3465,50,3
MI,2020-01-31,0,0,0,0,0
MI,2020-02-29,0,0,0,0,0
MI,2020-03-31,18654,186,18654,186,0
MI,2020-04-30,47505,473,28851,287,155
MI,2020-05-31,63568,633,16063,160,34
MI,2020-06-30,70728,704,7160,71,11
MI,2020-07-15,78913,786,8185,81,12
MN,2020-01-31,0,0,0,0,0
MN,2020-02-29,0,0,0,0,0
MN,2020-03-31,916,16,916,16,0
MN,2020-04-30,8116,142,7200,126,786
MN,2020-05-31,26322,462,18206,319,224
MN,2020-06-30,36303,637,9981,175,38
MN,2020-07-15,43742,767,7439,130,20
MS,2020-01-31,0,0,0,0,0
MS,2020-02-29,0,0,0,0,0
MS,2020-03-31,937,31,937,31,0
MS,2020-04-30,6815,228,5878,197,627
MS,2020-05-31,15501,519,8686,291,127
MS,2020-06-30,27247,911,11746,393,76
MS,2020-07-15,38567,1290,11320,379,42
MO,2020-01-31,0,0,0,0,0
MO,2020-02-29,0,0,0,0,0
MO,2020-03-31,1327,22,1327,22,0
MO,2020-04-30,7562,123,6235,101,470
MO,2020-05-31,13147,213,5585,91,74
MO,2020-06-30,21551,349,8404,136,64
MO,2020-07-15,29714,482,8163,132,38
MT,2020-01-31,0,0,0,0,0
MT,2020-02-29,0,0,0,0,0
MT,2020-03-31,184,17,184,17,0
MT,2020-04-30,453,42,269,25,146
MT,2020-05-31,515,47,62,6,14
MT,2020-06-30,967,89,452,42,88
MT,2020-07-15,2096,193,1129,104,117
NE,2020-01-31,0,0,0,0,0
NE,2020-02-29,0,0,0,0,0
NE,2020-03-31,172,9,172,9,0
NE,2020-04-30,3784,194,3612,185,2100
NE,2020-05-31,13905,712,10121,518,267
NE,2020-06-30,19042,975,5137,263,37
NE,2020-07-15,21717,1112,2675,137,14
NV,2020-01-31,0,0,0,0,0
NV,2020-02-29,0,0,0,0,0
NV,2020-03-31,1113,35,1113,35,0
NV,2020-04-30,4998,159,3885,124,349
NV,2020-05-31,8593,274,3595,115,72
NV,2020-06-30,18456,588,9863,314,115
NV,2020-07-15,30468,970,12012,383,65
NH,2020-01-31,0,0,0,0,0
NH,2020-02-29,0,0,0,0,0
NH,2020-03-31,314,23,314,23,0
NH,2020-04-30,2054,150,1740,127,554
NH,2020-05-31,4545,331,2491,182,121
NH,2020-06-30,5760,420,1215,89,27
NH,2020-07-15,6091,444,331,24,6
NJ,2020-01-31,0,0,0,0,0
NJ,2020-02-29,0,0,0,0,0
NJ,2020-03-31,18696,209,18696,209,0
NJ,2020-04-30,118652,1328,99956,1119,535
NJ,2020-05-31,160445,1795,41793,468,35
NJ,2020-06-30,171667,1921,11222,126,7
NJ,2020-07-15,176278,1973,4611,52,3
NM,2020-01-31,0,0,0,0,0
NM,2020-02-29,0,0,0,0,0
NM,2020-03-31,281,13,281,13,0
NM,2020-04-30,3213,153,2932,140,1043
NM,2020-05-31,7624,364,4411,210,137
NM,2020-06-30,11982,571,4358,208,57
NM,2020-07-15,15514,740,3532,168,29
NY,2020-01-31,0,0,0,0,0
NY,2020-02-29,0,0,0,0,0
NY,2020-03-31,75795,390,75795,390,0
NY,2020-04-30,304372,1566,228577,1176,302
NY,2020-05-31,370770,1907,66398,342,22
NY,2020-06-30,393454,2024,22684,117,6
NY,2020-07-15,404006,2078,10552,54,3
NC,2020-01-31,0,0,0,0,0
NC,2020-02-29,0,0,0,0,0
NC,2020-03-31,1498,14,1498,14,0
NC,2020-04-30,10509,99,9011,85,602
NC,2020-05-31,28589,269,18080,170,172
NC,2020-06-30,64670,609,36081,340,126
NC,2020-07-15,91266,860,26596,251,41
ND,2020-01-31,0,0,0,0,0
ND,2020-02-29,0,0,0,0,0
ND,2020-03-31,126,17,126,17,0
ND,2020-04-30,1067,140,941,124,747
ND,2020-05-31,2577,338,1510,198,142
ND,2020-06-30,3576,469,999,131,39
ND,2020-07-15,4565,599,989,130,28
OH,2020-01-31,0,0,0,0,0
OH,2020-02-29,0,0,0,0,0
OH,2020-03-31,2199,19,2199,19,0
OH,2020-04-30,18027,153,15828,135,720
OH,2020-05-31,35513,302,17486,149,97
OH,2020-06-30,51789,441,16276,139,46
OH,2020-07-15,69311,590,17522,149,34
OK,2020-01-31,0,0,0,0,0
OK,2020-02-29,0,0,0,0,0
OK,2020-03-31,565,14,565,14,0
OK,2020-04-30,3618,91,3053,77,540
OK,2020-05-31,6506,165,2888,73,80
OK,2020-06-30,13757,348,7251,183,111
OK,2020-07-15,22813,577,9056,229,66
OR,2020-01-31,0,0,0,0,0
OR,2020-02-29,0,0,0,0,0
OR,2020-03-31,690,16,690,16,0
OR,2020-04-30,2510,58,1820,42,264
OR,2020-05-31,4243,99,1733,40,69
OR,2020-06-30,8656,201,4413,103,104
OR,2020-07-15,12805,298,4149,96,48
PA,2020-01-31,0,0,0,0,0
PA,2020-02-29,0,0,0,0,0
PA,2020-03-31,4843,38,4843,38,0
PA,2020-04-30,45763,357,40920,319,845
PA,2020-05-31,72546,566,26783,209,59
PA,2020-06-30,86606,676,14060,110,19
PA,2020-07-15,97665,762,11059,86,13
RI,2020-01-31,0,0,0,0,0
RI,2020-02-29,0,0,0,0,0
RI,2020-03-31,568,54,568,54,0
RI,2020-04-30,9016,854,8448,800,1487
RI,2020-05-31,14988,1419,5972,565,66
RI,2020-06-30,16911,1601,1923,182,13
RI,2020-07-15,17640,1670,729,69,4
SC,2020-01-31,0,0,0,0,0
SC,2020-02-29,0,0,0,0,0
SC,2020-03-31,1083,21,1083,21,0
SC,2020-04-30,6095,117,5012,96,463
SC,2020-05-31,11861,228,5766,111,95
SC,2020-06-30,36399,699,24538,471,207
SC,2020-07-15,62245,1195,25846,496,71
SD,2020-01-31,0,0,0,0,0
SD,2020-02-29,0,0,0,0,0
SD,2020-03-31,108,12,108,12,0
SD,2020-04-30,2449,271,2341,259,2168
SD,2020-05-31,4993,553,2544,282,104
SD,2020-06-30,6764,749,1771,196,35
SD,2020-07-15,7652,847,888,98,13
TN,2020-01-31,0,0,0,0,0
TN,2020-02-29,0,0,0,0,0
TN,2020-03-31,2239,32,2239,32,0
TN,2020-04-30,10735,156,8496,123,379
TN,2020-05-31,23006,334,12271,178,114
TN,2020-06-30,43509,631,20503,297,89
TN,2020-07-15,69061,1001,25552,370,59
TX,2020-01-31,0,0,0,0,0
TX,2020-02-29,0,0,0,0,0
TX,2020-03-31,3266,11,3266,11,0
TX,2020-04-30,28087,95,24821,84,760
TX,2020-05-31,64287,218,36200,123,129
TX,2020-06-30,159986,543,95699,325,149
TX,2020-07-15,282365,958,122379,415,76
UT,2020-01-31,0,0,0,0,0
UT,2020-02-29,0,0,0,0,0
UT,2020-03-31,887,27,887,27,0
UT,2020-04-30,4672,142,3785,115,427
UT,2020-05-31,9797,298,5125,156,110
UT,2020-06-30,22217,677,12420,378,127
UT,2020-07-15,30891,941,8674,264,39
VT,2020-01-31,0,0,0,0,0
VT,2020-02-29,0,0,0,0,0
VT,2020-03-31,320,51,320,51,0
VT,2020-04-30,879,140,559,89,175
VT,2020-05-31,981,156,102,16,12
VT,2020-06-30,1208,192,227,36,23
VT,2020-07-15,1318,210,110,18,9
VA,2020-01-31,0,0,0,0,0
VA,2020-02-29,0,0,0,0,0
VA,2020-03-31,1250,14,1250,14,0
VA,2020-04-30,15846,184,14596,169,1168
VA,2020-05-31,44607,517,28761,333,182
VA,2020-06-30,62787,728,18180,211,41
VA,2020-07-15,73527,852,10740,125,17
WA,2020-01-31,3,0,3,0,0
WA,2020-02-29,299,4,296,4,9867
WA,2020-03-31,8431,108,8132,104,2720
WA,2020-04-30,16309,209,7878,101,93
WA,2020-05-31,23456,301,7147,92,44
WA,2020-06-30,32253,414,8797,113,38
WA,2020-07-15,42304,543,10051,129,31
WV,2020-01-31,0,0,0,0,0
WV,2020-02-29,0,0,0,0,0
WV,2020-03-31,162,9,162,9,0
WV,2020-04-30,1118,63,956,54,590
WV,2020-05-31,2010,113,892,50,80
WV,2020-06-30,2905,163,895,50,45
WV,2020-07-15,4557,256,1652,93,57
WI,2020-01-31,0,0,0,0,0
WI,2020-02-29,0,0,0,0,0
WI,2020-03-31,1585,27,1585,27,0
WI,2020-04-30,8052,138,6467,111,408
WI,2020-05-31,20564,351,12512,214,155
WI,2020-06-30,31662,541,11098,190,54
WI,2020-07-15,42197,721,10535,180,33
WY,2020-01-31,0,0,0,0,0
WY,2020-02-29,0,0,0,0,0
WY,2020-03-31,109,19,109,19,0
WY,2020-04-30,544,96,435,77,399
WY,2020-05-31,903,159,359,63,66
WY,2020-06-30,1487,262,584,103,65
WY,2020-07-15,1985,350,498,88,33
